"","alpha","relative_exit","mu","rho","X_11","relative_death","relative_biting"
"All Data",0.877640679442596,0.279997590268612,0.173103505332001,0.39530106088683,0.19572269772073,1.11883547254448,0.961609160523074
"No Aspiration",1.08672402811898,1.39774620305298,0.109055267663161,0.286082127167857,0.176895606737911,2.40376467918526,1.00139327457996
"No Parity",0.832306839563826,0.243446772965537,0.180946222999377,0.556437812332056,0.251788244630353,1.31695159785552,0.939674574061847
"NoSC",0.765726127687218,0.920906162498867,0.215680172827932,0.367522630390466,0.163669676463326,1.54397918201438,0.92955686513957
"No BloodFed",0.0557552963389639,1.80479069125677,0.105232705593112,0.120124382394243,0.0553104630006769,7.35685055929482,0.756017651216088
